Ranking,Team Name,Hyperlink,Wins,Losses,Ties,Winning Percentage,Season
136,Xavier (Big East),https://stats.ncaa.org/team/812.0/11620,30,30-29,29,0,2013-14
136,Memphis (AAC),https://stats.ncaa.org/team/404.0/11620,30,30-29,29,0,2013-14
138,Michigan (Big Ten),https://stats.ncaa.org/team/418.0/11620,30,30-29-1,29,1,2013-14
139,Oklahoma (Big 12),https://stats.ncaa.org/team/522.0/11620,29,29-29,29,0,2013-14
139,Florida A&M (MEAC),https://stats.ncaa.org/team/228.0/11620,26,26-26,26,0,2013-14
139,Buffalo (MAC),https://stats.ncaa.org/team/86.0/11620,26,26-26,26,0,2013-14
139,Auburn (SEC),https://stats.ncaa.org/team/37.0/11620,28,28-28,28,0,2013-14
139,LIU (NEC),https://stats.ncaa.org/team/361.0/11620,25,25-25-1,25,1,2013-14
144,Akron (MAC),https://stats.ncaa.org/team/5.0/11620,28,28-29,29,0,2013-14
144,South Dakota St. (Summit League),https://stats.ncaa.org/team/649.0/11620,28,28-29,29,0,2013-14
144,Fresno St. (Mountain West),https://stats.ncaa.org/team/96.0/11620,28,28-29,29,0,2013-14
147,Pacific (WCC),https://stats.ncaa.org/team/534.0/11620,26,26-27,27,0,2013-14
147,Seattle U (WAC),https://stats.ncaa.org/team/1356.0/11620,26,26-27,27,0,2013-14
147,California (Pac-12),https://stats.ncaa.org/team/107.0/11620,26,26-27,27,0,2013-14
147,Delaware (CAA),https://stats.ncaa.org/team/180.0/11620,26,26-27,27,0,2013-14
151,North Dakota St. (Summit League),https://stats.ncaa.org/team/493.0/11620,25,25-26,26,0,2013-14
152,Monmouth (MAAC),https://stats.ncaa.org/team/439.0/11620,24,24-25,25,0,2013-14
153,Utah Valley (WAC),https://stats.ncaa.org/team/30024.0/11620,28,28-30,30,0,2013-14
154,UC Riverside (Big West),https://stats.ncaa.org/team/111.0/11620,26,26-28,28,0,2013-14
155,Binghamton (America East),https://stats.ncaa.org/team/62.0/11620,25,25-27,27,0,2013-14
155,Bowling Green (MAC),https://stats.ncaa.org/team/71.0/11620,25,25-27,27,0,2013-14
157,UTRGV (WAC),https://stats.ncaa.org/team/536.0/11620,27,27-30,30,0,2013-14
157,ETSU (ASUN),https://stats.ncaa.org/team/198.0/11620,27,27-30,30,0,2013-14
159,Georgia (SEC),https://stats.ncaa.org/team/257.0/11620,26,26-29-1,29,1,2013-14
160,Gonzaga (WCC),https://stats.ncaa.org/team/260.0/11620,26,26-29,29,0,2013-14
160,Northeastern (CAA),https://stats.ncaa.org/team/500.0/11620,26,26-29,29,0,2013-14
162,Valparaiso (Horizon),https://stats.ncaa.org/team/735.0/11620,25,25-28,28,0,2013-14
163,Bradley (MVC),https://stats.ncaa.org/team/72.0/11620,24,24-27,27,0,2013-14
163,UIC (Horizon),https://stats.ncaa.org/team/302.0/11620,24,24-27,27,0,2013-14
165,Norfolk St. (MEAC),https://stats.ncaa.org/team/485.0/11620,23,23-26,26,0,2013-14
166,Towson (CAA),https://stats.ncaa.org/team/711.0/11620,22,22-25,25,0,2013-14
167,UConn (AAC),https://stats.ncaa.org/team/164.0/11620,27,27-31,31,0,2013-14
167,South Fla. (AAC),https://stats.ncaa.org/team/651.0/11620,27,27-31,31,0,2013-14
169,Santa Clara (WCC),https://stats.ncaa.org/team/631.0/11620,26,26-30,30,0,2013-14
170,Yale (Ivy League),https://stats.ncaa.org/team/813.0/11620,19,19-22,22,0,2013-14
171,Little Rock (Sun Belt),https://stats.ncaa.org/team/32.0/11620,25,25-29,29,0,2013-14
171,San Francisco (WCC),https://stats.ncaa.org/team/629.0/11620,25,25-29,29,0,2013-14
173,Richmond (Atlantic 10),https://stats.ncaa.org/team/575.0/11620,24,24-28-1,28,1,2013-14
174,Cornell (Ivy League),https://stats.ncaa.org/team/167.0/11620,18,18-21,21,0,2013-14
174,Dartmouth (Ivy League),https://stats.ncaa.org/team/172.0/11620,18,18-21,21,0,2013-14
176,Southern Ill. (MVC),https://stats.ncaa.org/team/659.0/11620,26,26-31,31,0,2013-14
176,Missouri St. (MVC),https://stats.ncaa.org/team/669.0/11620,26,26-31,31,0,2013-14
176,Baylor (Big 12),https://stats.ncaa.org/team/51.0/11620,26,26-31,31,0,2013-14
179,UCLA (Pac-12),https://stats.ncaa.org/team/110.0/11620,25,25-30-1,30,1,2013-14
180,Hofstra (CAA),https://stats.ncaa.org/team/283.0/11620,20,20-24,24,0,2013-14
180,Kansas St. (Big 12),https://stats.ncaa.org/team/327.0/11620,25,25-30,30,0,2013-14
182,Maine (America East),https://stats.ncaa.org/team/380.0/11620,24,24-29,29,0,2013-14
183,Houston Christian (Southland),https://stats.ncaa.org/team/287.0/11620,23,23-28,28,0,2013-14
183,Navy (Patriot),https://stats.ncaa.org/team/726.0/11620,23,23-28,28,0,2013-14
185,Siena (MAAC),https://stats.ncaa.org/team/639.0/11620,27,27-33,33,0,2013-14
185,Bethune-Cookman (MEAC),https://stats.ncaa.org/team/61.0/11620,27,27-33,33,0,2013-14
185,Winthrop (Big South),https://stats.ncaa.org/team/792.0/11620,27,27-33,33,0,2013-14
188,Georgia St. (Sun Belt),https://stats.ncaa.org/team/254.0/11620,25,25-31,31,0,2013-14
189,Belmont (OVC),https://stats.ncaa.org/team/14927.0/11620,24,24-30-1,30,1,2013-14
190,Washington St. (Pac-12),https://stats.ncaa.org/team/754.0/11620,24,24-30,30,0,2013-14
190,Dayton (Atlantic 10),https://stats.ncaa.org/team/175.0/11620,24,24-30,30,0,2013-14
190,Fordham (Atlantic 10),https://stats.ncaa.org/team/236.0/11620,24,24-30,30,0,2013-14
190,NJIT (NJIT),https://stats.ncaa.org/team/471.0/11620,20,20-25,25,0,2013-14
194,Murray St. (OVC),https://stats.ncaa.org/team/454.0/11620,23,23-29,29,0,2013-14
194,Tulane (CUSA),https://stats.ncaa.org/team/718.0/11620,23,23-29,29,0,2013-14
194,Texas Southern (SWAC),https://stats.ncaa.org/team/699.0/11620,23,23-29,29,0,2013-14
197,CSU Bakersfield (WAC),https://stats.ncaa.org/team/94.0/11620,26,26-33,33,0,2013-14
197,Furman (SoCon),https://stats.ncaa.org/team/244.0/11620,26,26-33,33,0,2013-14
199,Ark.-Pine Bluff (SWAC),https://stats.ncaa.org/team/2678.0/11620,22,22-28,28,0,2013-14
200,Troy (Sun Belt),https://stats.ncaa.org/team/716.0/11620,25,25-32,32,0,2013-14
201,Gardner-Webb (Big South),https://stats.ncaa.org/team/1092.0/11620,24,24-31,31,0,2013-14
201,Western Mich. (MAC),https://stats.ncaa.org/team/774.0/11620,24,24-31,31,0,2013-14
201,Eastern Ky. (OVC),https://stats.ncaa.org/team/202.0/11620,24,24-31,31,0,2013-14
